genus,evidence_class,analysis_class
Microcaeculus,N0,N0
Mochloribatula,N0,N0
Nanorchestes,N0,N0
Neocarus,N0,N0
Neomolgus,N0,N0
Neotrombicula,N0,N0
Nopsides,N0,N0
Nullibrotheas,N0,N0
Olios,N0,N0
Ortholasma,N0,N0
Orthonops,N0,N0
Otobius,N0,N0
Otorhinophila,N0,N0
Parachelifer,N0,N0
Parachernes,N0,N0
Parasitus,N0,N0
Parateneriffia,N0,N0
Paravaejovis,N0,N0
Paruroctonus,N0,N0
Passalozetes,N0,N0
Pholcus,N0,N0
Phrynus,N0,N0
Phyllocoptes,N0,N0
Physocyclus,N0,N0
Plectreurys,N0,N0
Propelops,N0,N0
Protolophus,N0,N0
Pseudouroctonus,N0,N0
Psilochorus,N0,N0
Scapheremaeus,N0,N0
Scytodes,N0,N0
Selenops,N0,N0
Serradigitus,N0,N0
Smeringurus,N0,N0
Solinus,N0,N0
Sperchon,N0,N0
Spinturnix,N0,N0
Stahnkeus,N0,N0
Steatonyssus,N0,N0
Superstitionia,N0,N0
Syntropis,N0,N0
Tarsonops,N0,N0
Teneriffia,N0,N0
Tepoztlana,N0,N0
Torrenticola,N0,N0
Trhypochthonius,N0,N0
Trichotrombidium,N0,N0
Tuckerella,N0,N0
Tyrophagus,N0,N0
Uroctonus,N0,N0
Vaejovis,N0,N0
Vejovoidus,N0,N0
Vizcaino,N0,N0
