band_1_label,band_2_label,trait_label,metric,median,p025,p975,mean,sd,n
24–26°N,26–28°N,Ballooning-capable,sorensen_nestedness,0.2181818181818182,0.0,0.4666666666666666,0.205166257646882,0.1376224751173893,5000
24–26°N,26–28°N,Non-ballooning,jaccard_total,0.6381144534115921,0.5,0.7333333333333333,0.6312867529680722,0.061818907485037745,5000
24–26°N,26–28°N,Non-ballooning,jaccard_turnover,0.3888888888888889,0.14814814814814814,0.6521739130434783,0.398306500232227,0.13523470026081594,5000
24–26°N,26–28°N,Non-ballooning,jaccard_nestedness,0.23061084420041184,0.012193887627135393,0.4743206596734748,0.23298025273584516,0.126136602297833,5000
24–26°N,26–28°N,Non-ballooning,sorensen_total,0.46855221518987344,0.3333333333333333,0.5789473684210527,0.4641569629803646,0.06501302512850218,5000
24–26°N,26–28°N,Non-ballooning,simpson_replacement,0.2413793103448276,0.08,0.4838709677419355,0.2577738045087965,0.10828987056267866,5000
24–26°N,26–28°N,Non-ballooning,sorensen_nestedness,0.21030544797668083,0.011443571048834242,0.39450056116722787,0.20638315847156805,0.1030468102492249,5000
26–28°N,28–30°N,Ballooning-capable,jaccard_total,0.6956521739130435,0.5238095238095238,0.8333333333333334,0.6884928265230691,0.07847080293289407,5000
26–28°N,28–30°N,Ballooning-capable,jaccard_turnover,0.5882352941176471,0.2857142857142857,0.7777777777777778,0.5659465092985416,0.13037834594009426,5000
26–28°N,28–30°N,Ballooning-capable,jaccard_nestedness,0.10606060606060608,0.0,0.34615384615384615,0.12254631722452748,0.09079027561105943,5000
26–28°N,28–30°N,Ballooning-capable,sorensen_total,0.5333333333333333,0.3548387096774194,0.7142857142857143,0.5303499289121066,0.09037517553781363,5000
26–28°N,28–30°N,Ballooning-capable,simpson_replacement,0.4166666666666667,0.16666666666666666,0.6363636363636364,0.4057754306804307,0.1234327096094113,5000
26–28°N,28–30°N,Ballooning-capable,sorensen_nestedness,0.11538461538461542,0.0,0.3111111111111111,0.12457449823167592,0.08021880018905533,5000
26–28°N,28–30°N,Non-ballooning,jaccard_total,0.7111111111111111,0.6136363636363636,0.8,0.7094867137257588,0.04747274140964904,5000
26–28°N,28–30°N,Non-ballooning,jaccard_turnover,0.6666666666666666,0.5,0.7804878048780488,0.6588944087461346,0.06934125237541364,5000
26–28°N,28–30°N,Non-ballooning,jaccard_nestedness,0.04065040650406504,0.0,0.15454545454545454,0.05059230497962424,0.04183594558822392,5000
26–28°N,28–30°N,Non-ballooning,sorensen_total,0.5517241379310345,0.4426229508196722,0.6666666666666666,0.5518630506240586,0.05695590712279692,5000
26–28°N,28–30°N,Non-ballooning,simpson_replacement,0.5,0.3333333333333333,0.64,0.495218557771843,0.07587250636570025,5000
26–28°N,28–30°N,Non-ballooning,sorensen_nestedness,0.04814814814814816,0.0,0.1634002639517345,0.05664449285221558,0.043729602177834406,5000
28–30°N,30–32°N,Ballooning-capable,jaccard_total,0.8,0.7037037037037037,0.8679245283018868,0.7952577197615381,0.041297933473636673,5000
28–30°N,30–32°N,Ballooning-capable,jaccard_turnover,0.42857142857142855,0.16666666666666666,0.6666666666666666,0.4273036648732879,0.14074747229959464,5000
28–30°N,30–32°N,Ballooning-capable,jaccard_nestedness,0.3594771241830066,0.14138755980861245,0.6386066763425254,0.3679540548882503,0.14246310777125087,5000
28–30°N,30–32°N,Ballooning-capable,sorensen_total,0.6666666666666666,0.5428571428571428,0.7666666666666667,0.6620286236492641,0.0561696365048167,5000
28–30°N,30–32°N,Ballooning-capable,simpson_replacement,0.2727272727272727,0.09090909090909091,0.5,0.28187947136197133,0.11448584944401728,5000
28–30°N,30–32°N,Ballooning-capable,sorensen_nestedness,0.38196286472148544,0.17004048582995945,0.6057692307692307,0.38014915228729274,0.12098311933534629,5000
28–30°N,30–32°N,Non-ballooning,jaccard_total,0.7192982456140351,0.6271186440677966,0.8088410364145656,0.7191591640310944,0.04713255821356078,5000
28–30°N,30–32°N,Non-ballooning,jaccard_turnover,0.6666666666666666,0.5333333333333333,0.7727272727272727,0.6616024001522369,0.06141173518183835,5000
28–30°N,30–32°N,Non-ballooning,jaccard_nestedness,0.04750175932441947,0.0,0.16806039240821843,0.05755676387885744,0.04505991889410953,5000
28–30°N,30–32°N,Non-ballooning,sorensen_total,0.5616438356164384,0.4567901234567901,0.6790370370370368,0.5635943674037337,0.0576979195210316,5000
28–30°N,30–32°N,Non-ballooning,simpson_replacement,0.5,0.36363636363636365,0.6296296296296297,0.49744508144063876,0.06817672994835022,5000
28–30°N,30–32°N,Non-ballooning,sorensen_nestedness,0.05555555555555558,0.0,0.18666666666666665,0.06614928596309494,0.04997754216961866,5000
