band_1,band_1_label,band_2,band_2_label,adjacent,metric,contrast,n,mean,median,sd,p025,p975
23-24N,23–24°N,30-32N,30–32°N,False,jaccard_nestedness,ballooning_minus_non_ballooning,5000,0.045992874166354655,0.03727353514505222,0.05777385095274253,-0.04017459955508971,0.17847757842146028
23-24N,23–24°N,30-32N,30–32°N,False,sorensen_total,ballooning_minus_non_ballooning,5000,-0.23025269406491966,-0.23782416192283362,0.06546601962354118,-0.33333612040133775,-0.09968536950376528
23-24N,23–24°N,30-32N,30–32°N,False,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.2535276535190125,-0.25437380449008357,0.05929801087963763,-0.3717208322116032,-0.1312941919191922
23-24N,23–24°N,30-32N,30–32°N,False,sorensen_nestedness,ballooning_minus_non_ballooning,5000,0.023274959454092907,0.014313285332174519,0.05947478525628816,-0.07202174448923354,0.15311350181098066
24-26N,24–26°N,26-28N,26–28°N,True,jaccard_total,ballooning_minus_non_ballooning,5000,-0.005265824516517742,-0.004109781843772031,0.10821055975267307,-0.22175120772946852,0.19869128022929844
24-26N,24–26°N,26-28N,26–28°N,True,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.004530476816049183,-0.00303030303030305,0.1363552403140594,-0.27586206896551724,0.26190886699507376
24-26N,24–26°N,26-28N,26–28°N,True,jaccard_nestedness,ballooning_minus_non_ballooning,5000,-0.0007353477004685579,-0.0033030392097200822,0.1336522318144523,-0.2410801582676583,0.2649829059829056
24-26N,24–26°N,26-28N,26–28°N,True,sorensen_total,ballooning_minus_non_ballooning,5000,-0.0030069084915365575,-0.004236573266424015,0.11508164592208982,-0.22331026148099323,0.2206348382632761
24-26N,24–26°N,26-28N,26–28°N,True,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.0017900076668505122,-0.0021008403361344463,0.10879489492740303,-0.21666666666666667,0.21717171717171715
24-26N,24–26°N,26-28N,26–28°N,True,sorensen_nestedness,ballooning_minus_non_ballooning,5000,-0.0012169008246860446,0.0003499634109819516,0.11814909643529872,-0.2196420930374718,0.22725840336134437
