band_1,band_1_label,band_2,band_2_label,adjacent,trait_class,trait_label,metric,n,mean,median,sd,p025,p975
23-24N,23–24°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,simpson_replacement,5000,0.4645587063376183,0.47058823529411764,0.05650806053215619,0.34615384615384615,0.5555555555555556
23-24N,23–24°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,sorensen_nestedness,5000,0.2021649503695435,0.1959399823477494,0.052746665746135124,0.125,0.326241134751773
23-24N,23–24°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,shared_genera,5000,23.012,21.0,5.63039930016121,14.0,31.0
23-24N,23–24°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,unique_to_band_1,5000,32.988,35.0,5.63039930016121,25.0,42.0
23-24N,23–24°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,unique_to_band_2,5000,14.6534,15.0,3.7823444668529578,7.0,21.0
23-24N,23–24°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,jaccard_total,5000,0.6767555694351322,0.6911764705882353,0.0665643424813334,0.581081081081081,0.7887323943661971
23-24N,23–24°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,jaccard_turnover,5000,0.5580491718304789,0.5588235294117647,0.04707357436422157,0.45157258064516126,0.65
23-24N,23–24°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,jaccard_nestedness,5000,0.11870639760465326,0.11599005799502893,0.06836001258714093,0.023391812865497075,0.2767857142857143
23-24N,23–24°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,sorensen_total,5000,0.5152811092431429,0.5280898876404494,0.07650356221625183,0.4095238095238095,0.6511627906976745
23-24N,23–24°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,simpson_replacement,5000,0.3884653943256149,0.3877551020408163,0.0446711051740955,0.291633064516129,0.48148148148148145
23-24N,23–24°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,sorensen_nestedness,5000,0.126815714917528,0.1269979657076431,0.07406786940580457,0.022792022792022748,0.27738927738927743
23-24N,23–24°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,shared_genera,5000,13.988,14.0,2.5866569464913134,9.0,18.0
23-24N,23–24°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,unique_to_band_1,5000,56.012,56.0,2.5866569464913134,52.0,61.0
23-24N,23–24°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,unique_to_band_2,5000,25.3614,25.0,5.347682636611524,15.0,36.0
23-24N,23–24°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,jaccard_total,5000,0.8537274832181659,0.8514851485148515,0.02365749971241774,0.8125,0.9010989010989011
23-24N,23–24°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,jaccard_turnover,5000,0.7810139597798674,0.7843137254901961,0.034387880856436175,0.7017543859649122,0.8395061728395061
23-24N,23–24°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,jaccard_nestedness,5000,0.07271352343829861,0.06862745098039225,0.02843039348624317,0.030904359141184168,0.14454262803587525
23-24N,23–24°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,sorensen_total,5000,0.7455338033080626,0.7413793103448276,0.036261789883150757,0.6842105263157895,0.82
23-24N,23–24°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,simpson_replacement,5000,0.6419930478446275,0.6451612903225806,0.04560789222131206,0.5405405405405406,0.723404255319149
23-24N,23–24°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,sorensen_nestedness,5000,0.10354075546343511,0.09800838574423487,0.038217986092759,0.046666666666666745,0.19897959183673475
24-26N,24–26°N,26-28N,26–28°N,True,ballooning,Ballooning-capable,shared_genera,5000,12.2974,12.0,3.3675542050967575,6.0,19.0
24-26N,24–26°N,26-28N,26–28°N,True,ballooning,Ballooning-capable,unique_to_band_1,5000,16.3858,19.0,8.17838220842664,4.0,29.0
24-26N,24–26°N,26-28N,26–28°N,True,ballooning,Ballooning-capable,unique_to_band_2,5000,4.7978,4.0,2.78353458267624,1.0,11.0
24-26N,24–26°N,26-28N,26–28°N,True,ballooning,Ballooning-capable,jaccard_total,5000,0.6260209284515544,0.625,0.08410013466592461,0.46153846153846156,0.7948717948717948
