threshold,grid_cell_id,period_id,latitude_band,ballooning_records,ballooning_events,ballooning_genera,n0_records,n0_events,n0_genera,paired_eligible
C1_D1_only,BJA25K_C+0008_R-0006,P2016_2020,26-28N,0,0,0,15,7,6,0
C1_D1_only,BJA25K_C+0008_R-0006,P2021_2025,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0008_R-0007,P2001_2005,24-26N,0,0,0,5,3,4,0
C1_D1_only,BJA25K_C+0008_R-0007,P2006_2010,24-26N,0,0,0,2,1,2,0
C1_D1_only,BJA25K_C+0008_R-0007,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0007,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0007,P2021_2025,24-26N,5,5,4,27,21,8,1
C1_D1_only,BJA25K_C+0008_R-0008,P2001_2005,24-26N,0,0,0,2,2,2,0
C1_D1_only,BJA25K_C+0008_R-0008,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0008,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0008,P2016_2020,24-26N,0,0,0,7,1,2,0
C1_D1_only,BJA25K_C+0008_R-0008,P2021_2025,24-26N,5,5,3,6,5,4,1
C1_D1_only,BJA25K_C+0008_R-0009,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0009,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0009,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0009,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0009,P2021_2025,24-26N,1,1,1,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0012,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0012,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0012,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0012,P2016_2020,24-26N,0,0,0,6,2,1,0
C1_D1_only,BJA25K_C+0008_R-0012,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0013,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0013,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0013,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0013,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0013,P2021_2025,24-26N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0009_R-0008,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0008,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0008,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0008,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0008,P2021_2025,24-26N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0009_R-0009,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0009,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0009,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0009,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0009,P2021_2025,24-26N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0009_R-0014,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0014,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0014,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0009_R-0014,P2016_2020,24-26N,0,0,0,1,1,1,0
