grid_cell_id,grid_cell_order,centroid_latitude,centroid_longitude,latitude_band,z_tmean_c,z_tseason_monthly_sd_c,z_precip_annual_mean_mm,z_precip_interannual_cv_pct,z_vpd_mean_kpa,z_soil_water_mean_frac,z_wind_speed_mean_ms,z_wind_monthly_sd_ms,z_evi_mean,z_evi_interannual_cv_pct
BJA25K_C+0007_R-0011,48,25.126712,-111.6377997,24-26N,0.6541905219547904,-0.6279528715440449,-0.3948161842587963,0.680957131077783,-0.01609753831334249,-0.6785810625198498,0.8372780589947403,1.0144812327379449,0.8313741545759987,-0.3566941481716083
BJA25K_C+0008_R-0011,49,25.1231837,-111.3895266,24-26N,0.9441186261507151,-0.4472603670811583,-0.13249572268182064,0.5822286159836382,0.607658577180479,-0.6579976406862053,0.4112994841043058,0.5378595303368919,0.45009537837654207,-0.5090124590059194
BJA25K_C+0007_R-0010,50,25.3515385,-111.6342788,24-26N,0.7064497906808199,-0.5806043594185009,-0.2823443083209758,0.5578140478112313,0.16856974499762079,-0.6485780775653256,0.5078182257261914,0.708028592927246,0.6338512356235233,-0.418462652977079
BJA25K_C+0009_R-0010,51,25.3440127,-111.1368025,24-26N,0.8121172146498025,-0.30155114478318956,0.12332311225143096,0.7099797668937153,0.35817907071651717,-0.5821700171776558,-0.13967935798903544,0.021183381265652272,0.48083755127871075,-0.49663941279525403
BJA25K_C+0005_R-0009,52,25.5821337,-112.1291747,24-26N,0.06815926936724757,-1.0574542464584669,-0.6701351036373154,1.1459638150117104,-1.3238271078078436,0.5213336908224171,1.6359597861613902,0.9111738241714926,0.44183286963311624,0.016105637893102785
BJA25K_C+0006_R-0009,53,25.5794672,-111.879946,24-26N,0.3305259361701957,-0.8118963322906012,-0.5413639995825086,0.8717781372880643,-0.5125015734963413,-0.6011534669439419,0.7378261332502692,0.343810752870076,0.35550994166395444,-0.375283799257714
BJA25K_C+0007_R-0009,54,25.5763565,-111.6307233,24-26N,0.7995160732117426,-0.42176079859069543,-0.1328475532811811,0.44996729188907775,0.5403132823994474,-0.6259554508426031,0.0657642172148687,-0.05555606203843557,0.021969896600639367,-0.4753549226480185
BJA25K_C+0008_R-0009,55,25.5728014,-111.3815077,24-26N,0.9662117155417432,-0.12432886447397155,0.10228962965553247,0.572147685886441,0.8899033608455713,-0.6134920135397709,-0.43460256157243154,-0.6933096535296498,0.31187275891450433,-0.4985347296256333
BJA25K_C+0009_R-0009,56,25.5688021,-111.1323001,24-26N,1.0407800251183896,-0.069832392565439,0.10636213790532467,0.7606585457811478,0.6125742919892171,-0.5557770304591791,-0.4049954295523252,-0.16252831850474575,0.04086794247289965,2.0627869667237784
BJA25K_C+0005_R-0008,58,25.8069659,-112.1265412,24-26N,0.3145184868861522,-0.8587639170686495,-0.5301444175813911,1.005419116981862,-0.4991072554744427,-0.5113104252015825,0.633204830858894,0.587348630544335,0.2239330753271927,-0.2566637121237009
BJA25K_C+0006_R-0008,59,25.8042893,-111.876834,24-26N,0.5453270431211382,-0.597952691023468,-0.24384034343914043,0.78140855360736,0.14787429040195527,-0.5778176792353127,0.04985653602513009,-0.2236933695608944,-0.09722672101635499,-0.4389678656496535
BJA25K_C+0007_R-0008,60,25.8011667,-111.6271329,24-26N,0.7138685233249836,-0.21433188586836177,0.21163480250980327,0.21552315326897273,0.8327510768575425,-0.5520136929102535,-0.4417153184950632,-0.8999829363793675,0.20962965867664332,-0.5265506411371325
BJA25K_C+0008_R-0008,61,25.7975981,-111.3774391,24-26N,0.7991006345988757,-0.04234050124651111,0.20417938174203407,0.33056215506856745,0.6782526030156825,-0.40173663390725317,-0.6355424443892626,-0.4181901662233629,0.5943715644661057,0.2015181886394939
BJA25K_C+0009_R-0008,62,25.7935835,-111.1277535,24-26N,1.2027235822612259,0.06095857103604655,-0.012336734565118723,0.9263972948718364,0.48502957368781335,-0.5665481981571647,-0.3366290781521836,0.7774458160701356,-1.047397158471375,0.5353752217045219
BJA25K_C+0004_R-0007,63,26.0340305,-112.3740778,26-28N,0.5437849201964001,-0.6556132780317943,-0.5010870795143139,0.9015883559158556,0.09765104198760319,-0.3514067005338995,0.3381309290706403,0.6229555875169781,-0.11597173353039958,-0.08595295558584566
BJA25K_C+0006_R-0007,64,26.0291046,-111.8736914,26-28N,0.6435527748576227,-0.23563708834797426,0.03856528126408208,0.5871313184558211,0.7710150485641598,-0.572070458442698,-0.5132307415652217,-0.33796051536849236,-0.17848757652936373,-0.4778753123858099
BJA25K_C+0008_R-0007,65,26.0223878,-111.3733306,26-28N,1.0736846463381817,0.16219086624883383,0.20846447963026174,0.3458785767530805,0.494529418903348,-0.5050578103300256,-0.4872152741155782,0.890539096756437,0.14938253735322152,1.6196914471481398
BJA25K_C+0003_R-0006,66,26.260657,-112.6225691,26-28N,0.3688760769433573,-0.6787089532109927,-0.6588023061253522,0.5564861099755817,-0.02085965114222887,-0.7043346602370011,0.8153829679091015,0.9768846031616888,-0.6955039278993861,-0.33183870113446823
BJA25K_C+0004_R-0006,67,26.2588588,-112.3718805,26-28N,0.6041315395521621,-0.39765739233885816,-0.34184302873691896,0.4786125136921509,0.6026665385103187,-0.604925714060119,0.06076417600209669,0.21088018886003396,-0.3048920253786839,0.3409310389755552
BJA25K_C+0005_R-0006,68,26.2566111,-112.1211966,26-28N,0.7370978881449667,-0.12174526267622973,0.03686997781664743,0.48397876256028505,0.9073806002303489,-0.5539032640515035,-0.5446792622849285,-0.5389753901967959,-0.2016819337603254,-0.4605560722770246
BJA25K_C+0006_R-0006,69,26.253914,-111.8705181,26-28N,0.9087827042522447,0.27019571127505626,0.2875449807347635,0.33025616392528895,1.2373135511698852,-0.4957519949041976,-0.8429738016114088,-0.699212133509019,0.13531511606865443,-0.5456823056606612
BJA25K_C+0007_R-0006,70,26.2507674,-111.6198462,26-28N,1.0697318269185567,0.4899229383827745,0.09818419862340158,0.22567356742317618,1.3546458172811418,-0.622772329145794,-0.8389928415855232,-0.5929442560534277,0.6657759395402839,-0.5040799676432737
BJA25K_C+0008_R-0006,71,26.2471714,-111.3691819,26-28N,1.3187851361674747,0.3990883087489549,-0.014263959627002876,0.5124432499016738,0.7524493028343766,-0.5134642470940706,-0.3666242879058014,1.3479460780002863,0.011648381224744486,1.349857254861315
BJA25K_C+0003_R-0005,72,26.4854873,-112.6208432,26-28N,0.4562003642831457,-0.39753829738704377,-0.4958936545661072,0.3401339535933548,0.4443277001405821,-0.6232204677054295,0.3926158222668983,0.2344130557859213,-0.6785761828446717,-0.45978323145566086
BJA25K_C+0005_R-0005,73,26.4814259,-112.1184849,26-28N,0.42542391119591333,0.29900252987822235,0.8022519856211047,0.02170879260898015,1.0390974798125596,0.770690338553499,-1.1525633670585613,-1.5934386910701042,0.6085964998394946,-0.5424405278722392
BJA25K_C+0006_R-0005,74,26.4787183,-111.8673137,26-28N,0.9009559318481056,0.6384152320204489,0.9465850132166693,-0.20981915037208912,1.255867323061278,0.2746024690735201,-1.1926523101386368,-1.2367699551245523,0.43581444018333015,-0.1364289048746811
BJA25K_C+0007_R-0005,75,26.4755596,-111.6161492,26-28N,1.3658310963999012,0.7579580513509385,-0.000893495402245467,0.41036220769758175,1.1889011473437137,-0.5456004526834493,-0.6440964816311228,0.5933361594977575,0.09636838017613492,0.45396186631199026
BJA25K_C+0008_R-0005,76,26.4719497,-111.3649925,26-28N,1.4154518756450183,0.5519803264760023,-0.26480817534827916,0.8058467070828013,0.7015094679234445,-0.250219547500815,-0.14128641610445072,2.014708691677489,-0.884638231305612,3.339391021557749
BJA25K_C-0001_R-0004,77,26.7130319,-113.6258438,26-28N,0.24091897940336016,-0.6878344123342329,-1.214820664440212,0.8403713366012281,-0.024325389859800838,-0.3301068705686223,1.6652960888072112,0.3317864970632757,-1.25686295841364,-0.014256153097132108
BJA25K_C+0001_R-0004,79,26.7125788,-113.122469,26-28N,0.4692445331449237,-0.477631461806023,-1.0645407241857447,0.5143398209197234,0.06863593212000456,-0.4877668999644774,1.031990028373391,-0.03128275738931515,-1.2398602764729318,1.3462350008829405
BJA25K_C+0005_R-0004,80,26.7062365,-112.1157466,26-28N,0.8330205763451863,0.784890846283134,1.2186791562079273,-0.4322709168486264,1.3605963983023588,0.7021403860256779,-1.482860775536823,-1.4934500976457488,0.6898010780382687,-0.5558633775531616
BJA25K_C+0006_R-0004,81,26.7035185,-111.8640779,26-28N,1.3690550173055471,0.9955571613295522,0.40141237903948435,0.19090021419099365,1.4229534275519953,-0.4320634863277103,-0.9838971562834611,-0.5724284551535318,-0.13791812967403552,2.1401026100599787
BJA25K_C+0000_R-0003,82,26.9378657,-113.3739047,26-28N,0.36794404683468873,-0.1619604960510114,-1.0865627230342512,0.6214658182147328,0.32741387593282517,-0.9089845526368903,1.3869058529887606,0.5279816385633311,-1.2509370037055436,-0.42382837527738887
BJA25K_C+0004_R-0003,84,26.9333178,-112.3651587,26-28N,0.1075347186136198,0.5527374761164534,1.11831190269034,-0.7930495717496425,0.8225244742643645,2.1107425835940243,-1.3730171116752052,-1.3369444591759314,1.4668155683814748,-0.5851661446070888
BJA25K_C+0005_R-0003,85,26.9310439,-112.1129816,26-28N,0.9617583721623737,0.8765567174008682,0.5751001701677549,-0.15458085801969687,0.9873438609710996,-0.06012049434974563,-1.132410158860925,-0.698371697501742,0.07970173254177872,-0.04474640435955973
BJA25K_C+0006_R-0003,86,26.9283153,-111.8608104,26-28N,1.3872195789280086,0.9457875607800594,0.029211944993083803,0.48624012393531907,1.0751733445083504,0.250473901230967,-0.6637243759449244,-0.2926308738187488,-0.7078914277246409,6.454841167010279
BJA25K_C-0004_R-0002,87,27.1599579,-114.3844365,26-28N,-0.6834388936989694,-1.34174601992013,-1.182104655708224,0.7187074442237092,-1.360680360044146,-0.8007035030155109,1.9348648728895648,0.07243376341391271,-1.3222514302694015,-0.20812416299807326
BJA25K_C+0000_R-0002,89,27.1626973,-113.3736508,26-28N,0.07904145614565337,-0.10681239034614624,-1.0257880370272257,0.200506654286791,0.10538291685764489,-0.8572798525213617,1.4675411772640898,1.1394774947448123,-0.9069869972558637,-0.4419185611231173
BJA25K_C+0001_R-0002,90,27.1622407,-113.120953,26-28N,0.47786650688885884,0.15669097409902635,-0.9235390488713404,-0.2317288397624325,0.7283045653529985,-0.7791726266439718,0.88340415329894,0.5231110129329338,-1.0050967820748284,-0.44195480913770613
BJA25K_C+0002_R-0002,91,27.1613276,-112.8682569,26-28N,0.6353106102110384,0.5018029613838075,-0.5916806660644636,-0.30819946615182053,1.189187957259297,-0.7096293516319906,-0.147753972436165,-0.25485006255208004,-0.4103295396246621,-0.5454712206736847
BJA25K_C+0004_R-0002,92,27.1581316,-112.362874,26-28N,0.6640946662136947,0.8694992476970097,0.5354234565993823,-0.4362509962823471,1.0904980529707222,-0.11813944542371942,-1.153109337826034,-0.870813487641703,0.6677286854627666,-0.5403549869863258
BJA25K_C+0005_R-0002,93,27.1558489,-112.1101895,26-28N,1.0273196114153322,0.7474402897091172,-0.12735239803660817,0.5545784826545398,0.4028747353133269,-0.57463495130699,-0.5231833186010204,0.8856417952027731,-0.47285812543315203,0.8402332556240657
BJA25K_C-0004_R-0001,95,27.3847775,-114.3862309,26-28N,-0.812529757419907,-1.1685099859787655,-1.1921266187184512,0.8570757802828906,-1.201351932890187,-0.8473597659271537,1.553538475291601,0.020710019614585243,-1.189981018271857,-0.39680371773746714
BJA25K_C-0003_R-0001,96,27.3861526,-114.1330249,26-28N,-0.4892613609771272,-0.8197221844139997,-1.2421627914544175,1.2198775988148172,-0.764204287110928,-0.74616935178048,1.398081465683006,0.33684338634433886,-1.3325634539663544,0.2038466323600707
BJA25K_C-0002_R-0001,97,27.3870693,-113.8798161,26-28N,-0.23553968489390256,-0.5968331492626662,-1.2596135660761414,0.9563284897149182,-0.6296352554627817,-0.8242192280341071,1.461139800961731,0.8599593950586251,-1.1939982159112972,0.6707837294544408
