grid_cell_id,source_field,baseline_start,baseline_end,baseline_n_years,baseline_mean,baseline_sd,orientation,parameter_valid
BJA25K_C+0014_R-0017,terraclimate_pdsi_mean,2001,2020,20,0.06974645576131698,2.387583749094769,-1,1
BJA25K_C+0014_R-0017,terraclimate_pdsi_min,2001,2020,20,-2.634632098765432,2.2415680421253867,-1,1
BJA25K_C+0014_R-0017,terraclimate_soil_moisture_mean_mm,2001,2020,20,18.32644007201646,7.610702128422912,-1,1
BJA25K_C+0014_R-0017,terraclimate_aet_pet_ratio,2001,2020,20,0.2304193551338069,0.07174079084271719,-1,1
BJA25K_C+0014_R-0017,modis_evi_mean,2001,2020,20,0.25451941215035656,0.023891829690240125,-1,1
BJA25K_C+0014_R-0017,modis_evi_p10,2001,2020,20,0.15053338436254327,0.0142973644571547,-1,1
BJA25K_C+0015_R-0018,era5_mean_temperature_c,2001,2020,20,23.46433362409399,0.27202919503544515,1,1
BJA25K_C+0015_R-0018,era5_p95_daily_max_temperature_c,2001,2020,20,34.96065075267397,0.4033664460905236,1,1
BJA25K_C+0015_R-0018,era5_annual_max_temperature_c,2001,2020,20,37.038376858904584,0.6254908411968736,1,1
BJA25K_C+0015_R-0018,era5_hot_days_35c,2001,2020,20,29.806254709871894,8.41895499992505,1,1
BJA25K_C+0015_R-0018,era5_hot_days_40c,2001,2020,20,0.019216277317256968,0.05914645360551189,1,1
BJA25K_C+0015_R-0018,era5_mean_vpd_kpa,2001,2020,20,1.2752241293287039,0.08043589937203056,1,1
BJA25K_C+0015_R-0018,era5_p95_vpd_kpa,2001,2020,20,2.2815365676941486,0.14903970985565382,1,1
BJA25K_C+0015_R-0018,era5_high_vpd_day_fraction,2001,2020,20,0.005314877658547988,0.004752702683946207,1,1
BJA25K_C+0015_R-0018,era5_mean_rootzone_soil_water,2001,2020,20,0.14997811299869093,0.012939196399773466,-1,1
BJA25K_C+0015_R-0018,modis_lst_day_mean_c,2001,2020,20,37.02964445140917,0.7338191409399931,1,1
BJA25K_C+0015_R-0018,modis_lst_day_p95_c,2001,2020,20,48.320401160978335,0.9093293273601457,1,1
BJA25K_C+0015_R-0018,modis_lst_day_max_c,2001,2020,20,52.80317755833376,1.2463695173589495,1,1
BJA25K_C+0015_R-0018,modis_lst_night_mean_c,2001,2020,20,17.947334022771017,0.5202025908041623,1,1
BJA25K_C+0015_R-0018,modis_lst_hot_observation_fraction_45c,2001,2020,20,0.17049869056163486,0.03261849941912882,1,1
BJA25K_C+0015_R-0018,chirps_annual_precipitation_mm,2001,2020,20,365.34280980979275,157.72928092972052,-1,1
BJA25K_C+0015_R-0018,chirps_dry_day_fraction_lt1mm,2001,2020,20,0.9189506943351129,0.02140029018353632,1,1
BJA25K_C+0015_R-0018,chirps_very_dry_day_fraction_lt0_1mm,2001,2020,20,0.902605497873,0.02510067126826916,1,1
BJA25K_C+0015_R-0018,chirps_minimum_monthly_precipitation_mm,2001,2020,20,0.006861077272685349,0.020957545305245028,-1,1
BJA25K_C+0015_R-0018,chirps_heavy_rain_days_gt20mm,2001,2020,20,4.6575,2.2331905459993306,1,1
BJA25K_C+0015_R-0018,chirps_max_1day_precipitation_mm,2001,2020,20,73.66068759651793,38.95447921214349,1,1
BJA25K_C+0015_R-0018,terraclimate_climate_water_deficit_mm,2001,2020,20,1288.243987506185,124.83474982426137,1,1
BJA25K_C+0015_R-0018,terraclimate_pdsi_mean,2001,2020,20,0.12816233197262072,2.456003563158403,-1,1
BJA25K_C+0015_R-0018,terraclimate_pdsi_min,2001,2020,20,-2.373039646214745,2.2396990566593384,-1,1
BJA25K_C+0015_R-0018,terraclimate_soil_moisture_mean_mm,2001,2020,20,16.31338441159492,7.53090846957432,-1,1
BJA25K_C+0015_R-0018,terraclimate_aet_pet_ratio,2001,2020,20,0.21005873766463856,0.06768589693120446,-1,1
BJA25K_C+0015_R-0018,modis_evi_mean,2001,2020,20,0.2377454939183758,0.022101359139158127,-1,1
BJA25K_C+0015_R-0018,modis_evi_p10,2001,2020,20,0.15467684050233999,0.014743742126808462,-1,1
BJA25K_C+0016_R-0018,era5_mean_temperature_c,2001,2020,20,24.700449688945703,0.2953603189553148,1,1
BJA25K_C+0016_R-0018,era5_p95_daily_max_temperature_c,2001,2020,20,34.46693788824619,0.3879473491444878,1,1
BJA25K_C+0016_R-0018,era5_annual_max_temperature_c,2001,2020,20,36.31580032266155,0.5378560240526364,1,1
BJA25K_C+0016_R-0018,era5_hot_days_35c,2001,2020,20,12.662972972972973,5.643197667992308,1,1
BJA25K_C+0016_R-0018,era5_hot_days_40c,2001,2020,20,,,1,0
BJA25K_C+0016_R-0018,era5_mean_vpd_kpa,2001,2020,20,1.175406163474518,0.060652999673253945,1,1
BJA25K_C+0016_R-0018,era5_p95_vpd_kpa,2001,2020,20,2.0030325229109827,0.11937548993769184,1,1
BJA25K_C+0016_R-0018,era5_high_vpd_day_fraction,2001,2020,20,0.0003163936449362005,0.0009072316865091718,1,1
BJA25K_C+0016_R-0018,era5_mean_rootzone_soil_water,2001,2020,20,0.12171856639793162,0.011610300577489591,-1,1
BJA25K_C+0016_R-0018,modis_lst_day_mean_c,2001,2020,20,35.97708960688873,0.7826203985424006,1,1
BJA25K_C+0016_R-0018,modis_lst_day_p95_c,2001,2020,20,46.53879470930466,0.7921524712184342,1,1
BJA25K_C+0016_R-0018,modis_lst_day_max_c,2001,2020,20,51.00275120273964,1.3737649052025005,1,1
BJA25K_C+0016_R-0018,modis_lst_night_mean_c,2001,2020,20,18.736007340660162,0.4971348582620368,1,1
BJA25K_C+0016_R-0018,modis_lst_hot_observation_fraction_45c,2001,2020,20,0.1029198470608454,0.027007239013583432,1,1
BJA25K_C+0016_R-0018,chirps_annual_precipitation_mm,2001,2020,20,297.02176922729313,133.7711027558925,-1,1
BJA25K_C+0016_R-0018,chirps_dry_day_fraction_lt1mm,2001,2020,20,0.9289056645783035,0.01882006472044762,1,1
