model_id,omitted_cell,n_pairs,n_cells,coefficient,status
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C+0014_R-0017,13,11,0.18004619911026395,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C+0015_R-0018,14,11,0.4041727803096438,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C+0016_R-0018,14,11,0.5884715994028764,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C-0010_R+0013,14,11,0.38199838214673926,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C-0011_R+0015,14,11,0.3037775365718241,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C-0011_R+0016,14,11,0.747019269876401,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C-0012_R+0018,14,11,0.48353110394444865,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C-0012_R+0019,14,11,0.4458450224225019,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C-0013_R+0019,14,11,0.5057879621128184,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C+0013_R-0015,13,11,0.11384169677878002,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C+0013_R-0016,13,11,0.10857306904749806,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C+0013_R-0018,14,11,-0.05650395042263177,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C+0014_R-0017,13,11,0.15875841658878792,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C+0015_R-0018,14,11,0.1288233370414937,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C+0016_R-0018,14,11,0.12401587878877514,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C-0010_R+0013,14,11,0.052433222009095,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C-0011_R+0015,14,11,0.07635292871388788,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C-0011_R+0016,14,11,0.052746847423804234,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C-0012_R+0018,14,11,0.0885733771862251,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C-0012_R+0019,14,11,0.06219197204407395,OK
E_INDEPENDENT_TERRACLIMATE_CWD,BJA25K_C-0013_R+0019,14,11,0.09433357511852136,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C+0013_R-0015,13,11,-0.05358025598233841,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C+0013_R-0016,13,11,-0.02851328966454375,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C+0013_R-0018,14,11,-0.3483150504826049,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C+0014_R-0017,13,11,-0.08672115134848833,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C+0015_R-0018,14,11,-0.05740793580385061,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C+0016_R-0018,14,11,-0.08779459229124055,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C-0010_R+0013,14,11,-0.07071548490252053,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C-0011_R+0015,14,11,-0.06779216397763849,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C-0011_R+0016,14,11,-0.008977785116474563,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C-0012_R+0018,14,11,-0.07057262770106015,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C-0012_R+0019,14,11,-0.10823632201380358,OK
E_INDEPENDENT_MODIS_EVI_P10,BJA25K_C-0013_R+0019,14,11,0.013426045811929343,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C+0013_R-0015,13,11,-0.009090372244726192,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C+0013_R-0016,13,11,-0.024726757182997997,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C+0013_R-0018,14,11,-0.29028691389938277,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C+0014_R-0017,13,11,-0.020203618527901313,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C+0015_R-0018,14,11,-0.004257449747602753,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C+0016_R-0018,14,11,-0.05992274614631543,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C-0010_R+0013,14,11,-0.04651135297191216,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C-0011_R+0015,14,11,-0.07196354700885688,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C-0011_R+0016,14,11,-0.008336381584604043,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C-0012_R+0018,14,11,-0.03797610669395146,OK
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C-0012_R+0019,14,11,-0.11300516209017941,OK
