grid_cell_id,grid_cell_order,centroid_latitude,centroid_longitude,latitude_band,C3_richness,N0_richness,classified_richness_C3_plus_N0,C3_fraction,dominant_ecoregion,second_ecoregion,dominant_overlap_km2,second_overlap_km2,ecoregion_covered_km2,full_cell_area_km2,dominant_fraction_of_covered_land,second_fraction_of_covered_land,dominant_minus_second_fraction,dominant_fraction_of_full_cell,ecoregion_coverage_fraction,centroid_ecoregion,centroid_on_ecoregion_boundary,centroid_outside_mapped_mainland,centroid_agrees_with_dominant,ambiguous_dominant_assignment,low_mapped_land_coverage,primary_assignment_eligible,sensitivity_unambiguous_eligible,ecoregion_overlap_count_any,ecoregion_overlap_count_ge1pct_mapped,ecoregion_overlap_count_ge5pct_mapped,ecoregion_overlap_count_ge1pct_full_cell,ecoregion_overlap_shannon,ecoregion_effective_number,ecoregion_overlap_simpson_diversity,overlaps_Costa_Central_del_Golfo,overlaps_Sierra_de_la_Giganta,overlaps_Costa_Golfo_and_Sierra_Giganta,dominant_second_Costa_Golfo_Sierra_Giganta_interface,rook_neighbor_degree,local_unique_dominant_ecoregions_focal_plus_neighbors,adjacent_cross_boundary_edges,adjacent_cross_boundary_fraction,local_distinct_ecoregion_interfaces,distance_to_Mulege_km,Mulege_focal_primary_75km,Mulege_focal_sensitivity_50km,Mulege_focal_sensitivity_100km,Mulege_focal_sensitivity_125km,central_Gulf_latitude_corridor_26p4_27p4,inverse_dominant_fraction,z_effective_ecoregions,z_overlap_count_ge1pct,z_local_unique_ecoregions,z_adjacent_cross_boundary_fraction,z_inverse_dominant_fraction,ecoregion_junction_score_components_available,ecoregion_junction_score_primary,ecoregion_junction_score_primary_eligible
BJA25K_C+0015_R-0017,16,23.73785,-109.6940128,23-24N,3,7,10,0.3,Matorrales Tropicales,Selvas Bajas del Cabo,253.564086473936,33.6943571567997,289.322863909381,623.558126107313,0.876405283176496,0.11645936550439,0.759945917672106,0.406640657635016,0.463986999440674,,False,True,False,False,False,True,True,3,2,2,2,0.40130148904664065,1.4937675551744114,0.21830008256819333,False,False,False,False,2,2,1,0.5,1,419.08156225557246,False,False,False,False,False,0.12359471682350398,0.21885246629978608,0.45254063720558846,0.541956176572188,0.7143545778634305,0.015438046692093668,5,0.38862838092661733,True
BJA25K_C+0010_R-0016,17,23.9907325,-110.9169296,23-24N,1,2,3,0.3333333333333333,Planicies de Magdalena,,287.943049062148,0.0,287.943049062148,623.585403722887,1.0,0.0,1.0,0.461753991262609,0.461753991262609,,False,True,False,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,2,1,0,0.0,0,339.5911770575062,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
BJA25K_C+0011_R-0016,18,23.9859712,-110.6709562,23-24N,0,3,3,0.0,Planicies de Magdalena,Costa Central del Golfo,605.761564616587,16.8917724960548,622.653337112642,623.584911168585,0.972871304963393,0.0271286950366074,0.945742609926785,0.971417931651686,0.99850609910654,Planicies de Magdalena,False,False,True,False,False,True,True,2,2,1,2,0.12461497033167807,1.132712241276412,0.05278545788443645,True,False,False,False,3,2,1,0.3333333333333333,1,348.6335170489426,False,False,False,False,False,0.027128695036606976,-0.49482340105763434,0.45254063720558846,0.541956176572188,0.17604257417815697,-0.5706281838988564,5,0.02101756059988853,True
BJA25K_C+0012_R-0016,19,23.9807772,-110.4249919,23-24N,8,11,19,0.4210526315789473,Costa Central del Golfo,Planicies de Magdalena,458.768482482745,164.815816594315,623.58429907706,623.584299077056,0.735696012811337,0.264303987188663,0.471392025622674,0.735696012811342,1.00000000000001,Costa Central del Golfo,False,False,True,False,False,True,True,2,2,2,2,0.5775107829261972,1.7815981221325479,0.3888947790896766,True,False,False,False,4,2,2,0.5,1,359.1936748781588,False,False,False,False,False,0.264303987188663,0.7877894729542788,0.45254063720558846,0.541956176572188,0.7143545778634305,0.8702981328090983,5,0.6733877994809168,True
BJA25K_C+0013_R-0016,20,23.9751506,-110.1790375,23-24N,34,24,58,0.5862068965517241,Costa Central del Golfo,Selvas Bajas del Cabo,351.098443389982,224.783253390197,623.583722902121,623.58372290212,0.56303336744582,0.360470046177712,0.202563321268108,0.563033367445821,1.0,Costa Central del Golfo,False,False,True,False,False,True,True,3,3,3,3,0.887855087357717,2.4299121085023088,0.5472030452240063,True,False,False,False,4,2,2,0.5,1,371.1423801785605,False,False,False,False,False,0.43696663255418,2.069271918253776,1.810162548822354,0.541956176572188,0.7143545778634305,1.9192866145438703,5,1.4110063672111237,True
BJA25K_C+0014_R-0016,21,23.9690914,-109.9330937,23-24N,10,11,21,0.4761904761904761,Matorrales Tropicales,Selvas Bajas del Cabo,501.288033718934,14.2172779711778,515.505311690112,623.583280541029,0.972420695483106,0.0275793045168936,0.944841390966213,0.803883056781141,0.826682381931172,Matorrales Tropicales,False,False,True,False,False,True,True,2,2,1,2,0.12622417281666135,1.1345364720145046,0.05363737295851623,False,False,False,False,3,3,2,0.6666666666666666,2,384.35045065529664,False,False,False,False,False,0.027579304516894054,-0.49121755617970475,0.45254063720558846,1.9846282522361816,1.2526665815487037,-0.5678905671226221,5,0.5261454695376294,True
BJA25K_C+0010_R-0015,23,24.2155717,-110.9122379,24-26N,0,1,1,0.0,Planicies de Magdalena,,623.609936998135,0.0,623.609936998135,623.609936998136,1.0,0.0,1.0,0.999999999999999,0.999999999999999,Planicies de Magdalena,False,False,True,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,3,1,0,0.0,0,316.08104327446574,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
BJA25K_C+0011_R-0015,24,24.2107927,-110.6658185,24-26N,5,5,10,0.5,Planicies de Magdalena,Costa Central del Golfo,336.152899831554,201.529425315427,537.682325146981,623.609311281497,0.625188673887807,0.374811326112193,0.250377347775615,0.53904406773653,0.862210225889766,Costa Central del Golfo,False,False,False,False,False,True,True,2,2,2,2,0.6614667827544075,1.9376323367555524,0.4686555918604244,True,False,False,False,4,2,2,0.5,1,325.775107751541,False,False,False,False,False,0.37481132611219303,1.096212723276433,0.45254063720558846,0.541956176572188,0.7143545778634305,1.5416704810813353,5,0.869346919199795,True
BJA25K_C+0012_R-0015,25,24.2055794,-110.4194085,24-26N,14,31,45,0.3111111111111111,Costa Central del Golfo,,229.869373742672,0.0,229.869373742672,623.60867440614,1.0,0.0,1.0,0.368611571931028,0.368611571931028,,False,True,False,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,True,False,False,False,3,3,2,0.6666666666666666,2,337.05062892019026,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,1.9846282522361816,1.2526665815487037,-0.7354448908226539,5,0.16792422594672188,True
BJA25K_C+0013_R-0015,26,24.199932,-110.1730086,24-26N,29,24,53,0.5471698113207547,Matorrales Tropicales,Costa Central del Golfo,201.863912255032,179.197988104823,486.534358691594,623.608261984512,0.414901658328698,0.368315176315048,0.0465864820136503,0.323703075409295,0.780192291140103,Matorrales Tropicales,False,False,True,True,False,True,False,3,3,3,3,1.064304482470636,2.8988221011663664,0.6452056040302345,True,False,False,False,3,2,2,0.6666666666666666,1,349.75496849267194,False,False,False,False,False,0.585098341671302,2.9961375060058613,1.810162548822354,0.541956176572188,1.2526665815487037,2.8192407205092813,5,1.8840327066916778,True
BJA25K_C+0014_R-0015,27,24.1938504,-109.9266196,24-26N,2,5,7,0.2857142857142857,Matorrales Tropicales,Selvas Bajas del Cabo,47.4591243737177,4.45143839549315,51.9105627692108,623.607543001141,0.914247926471462,0.085752073528538,0.828495852942924,0.0761041538165468,0.0832423586786471,,False,True,False,False,True,False,False,2,2,2,1,0.29259790779063266,1.339903917174176,0.15679731082818793,False,False,False,False,2,1,0,0.0,0,363.73876348190976,False,False,False,False,False,0.08575207352853798,-0.08528033850254911,0.45254063720558846,-0.9007158990918056,-0.9005814331923898,-0.21446979962163396,5,-0.32970136664055805,True
BJA25K_C+0007_R-0014,28,24.4521722,-111.648158,24-26N,4,8,12,0.3333333333333333,Planicies de Magdalena,,184.01379938951,0.0,184.01379938951,623.63578697693,1.0,0.0,1.0,0.295066131918945,0.295066131918945,,False,True,False,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,2,1,0,0.0,0,273.1064126330429,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
BJA25K_C+0008_R-0014,29,24.4486833,-111.4012646,24-26N,0,2,2,0.0,Planicies de Magdalena,,596.155476229927,0.0,596.155476229927,623.635492146744,1.0,0.0,1.0,0.95593577295894,0.95593577295894,Planicies de Magdalena,False,False,True,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,3,1,0,0.0,0,277.5880870579103,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
BJA25K_C+0009_R-0014,30,24.4447584,-111.1543783,24-26N,2,1,3,0.6666666666666666,Planicies de Magdalena,,623.6347640525,0.0,623.6347640525,623.634764052501,1.0,0.0,1.0,0.999999999999999,0.999999999999999,Planicies de Magdalena,False,False,True,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,2,1,0,0.0,0,284.20786636199915,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
BJA25K_C+0010_R-0014,31,24.4403975,-110.9074999,24-26N,0,5,5,0.0,Planicies de Magdalena,Sierra de la Giganta,561.606324866415,34.1638188469583,623.634618072836,623.634618072837,0.900537443867209,0.054781787054304,0.845755656812905,0.900537443867208,0.999999999999999,Planicies de Magdalena,False,False,True,False,False,True,True,3,3,2,3,0.3923288768732575,1.4804245087332346,0.18403489687480468,True,True,True,False,4,3,2,0.5,2,292.82102969454564,False,False,False,False,False,0.09946255613279098,0.19247808576709188,1.810162548822354,1.9846282522361816,0.7143545778634305,-0.13117362226700005,5,0.9140899684844115,True
BJA25K_C+0011_R-0014,32,24.4356008,-110.6606302,24-26N,1,1,2,0.5,Costa Central del Golfo,Planicies de Magdalena,152.631306206761,70.5015198755531,223.132826082314,623.634280891867,0.684037884011091,0.315962115988909,0.368075768022182,0.244744894377007,0.357794356274336,,False,True,False,False,False,True,True,2,2,2,2,0.6237882658864754,1.8659835110916818,0.4322601144974403,True,False,False,False,3,2,2,0.6666666666666666,1,303.25803130415903,False,False,False,False,False,0.315962115988909,0.9545888893858476,0.45254063720558846,0.541956176572188,1.2526665815487037,1.1841400873599206,5,0.8771784744144495,True
BJA25K_C+0006_R-0013,36,24.680094,-111.8920942,24-26N,2,4,6,0.3333333333333333,Planicies de Magdalena,,311.295487649886,0.0,311.295487649886,623.66084553669,1.0,0.0,1.0,0.499142265989138,0.499142265989138,,False,True,False,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,2,1,0,0.0,0,245.88821403300514,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
